HospitalID,Name,Location,AvailableBeds,TotalBeds,Phone,Emergency24x7,DistWaknaghat,DistKandaghat,DistSolan,DistShimla,DistChail


H001,Ayurvedic Dispensary Waknaghat,Waknaghat,-1,-1,NA,No,1,7,20,35,25
H002,JUIT Dispensary,Waknaghat,4,4,NA,Yes,1,7,20,35,25
H003,Civil Hospital Kandaghat,Kandaghat,0,50,NA,Yes,7,1,13,28,18
H004,Kandaghat Medical Centre Main Bazar,Kandaghat,-1,-1,NA,No,7,1,13,28,18
H005,Ayurvedic Health Centre Kandaghat,Kandaghat,-1,-1,NA,No,7,1,13,28,18
H006,Ayurvedic Health Centre Shoghi,Shoghi,-1,-1,NA,No,18,25,35,12,40
H007,JP Hospital Solan,Solan,-1,-1,7018125644,Yes,20,13,1,45,38
H008,Nimbus Hospital Solan,Solan,-1,-1,787755771,Yes,20,13,1,45,38
H009,Shri Balmukand Apex Hospital,Solan,-1,32,8091966601,Yes,20,13,1,45,38
H010,Government Regional Hospital Solan,Solan,-1,200,1792223638,Yes,20,13,1,45,38
H011,Nav Jeevan Hospital,Solan,-1,15,9418022212,Yes,20,13,1,45,38
H012,Elcura Healthcare,Solan,-1,35,6230953406,Yes,20,13,1,45,38
H013,Sai Sanjivni Hospital,Solan,-1,52,NA,Yes,20,13,1,45,38
H014,Bansal Orthopaedic and General Hospital,Solan,-1,20,NA,Yes,20,13,1,45,38
H015,Shiva Hospital Solan,Solan,-1,10,9816080309,Yes,20,13,1,45,38
H016,City Hospital Solan,Solan,-1,-1,NA,No,20,13,1,45,38
H017,Govt Multi Speciality Hospital Chambaghat,Solan,-1,200,NA,Yes,20,13,1,45,38
H018,Maharishi Markandeshwar Hospital Solan,Solan,-1,720,1792268224,Yes,20,13,1,45,38
H019,Aastha Hospital Solan,Solan,-1,-1,NA,No,20,13,1,45,38
H020,Aastha Hospital and Surgical Centre,Solan,-1,-1,NA,No,20,13,1,45,38
H021,Ayurvedic Hospital Solan,Solan,-1,-1,NA,No,20,13,1,45,38
H022,Civil Hospital Arki,Arki,-1,50,NA,Yes,35,28,25,55,50
H023,Civil Hospital Chail,Chail,-1,30,NA,Yes,25,18,38,45,1
H024,Civil Hospital Darlaghat,Darlaghat,-1,-1,NA,Yes,30,23,22,60,55
H025,Civil Hospital Dharampur,Dharampur,-1,100,NA,Yes,18,11,8,50,40
H026,Civil Hospital Kunihar,Kunihar,-1,50,NA,Yes,45,38,28,70,65
H027,Civil Hospital Nalagarh,Nalagarh,-1,-1,NA,Yes,60,53,40,85,80
H028,Civil Hospital Sayari,Sayari,-1,-1,NA,Yes,38,31,22,65,60
H029,Drishti Eye Hospital,Solan,-1,0,9218520411,Yes,20,13,1,45,38
H030,Rahi Care Kidney Hospital,Solan,-1,-1,NA,Yes,20,13,1,45,38
H031,Grover Eye & ENT Hospital,Solan,-1,3,1792222970,Yes,20,13,1,45,38
H032,Dr Mohindru Dental Hospital,Solan,-1,-1,NA,Yes,20,13,1,45,38
H033,Health Sub Center Domeher,Domeher,-1,-1,NA,No,5,5,18,33,23
H034,Health Sub Center Anji,Anji Sunaran,-1,-1,NA,No,8,3,15,30,20
H035,Health Sub Center Laga,Laga,-1,-1,NA,No,6,6,17,32,22
H036,Health Sub Center Bisha,Bisha,-1,-1,NA,No,7,5,16,31,21
H037,Indira Gandhi Medical College and Hospital,Shimla,-1,-1,1772654713,Yes,35,28,45,1,45
H038,Deen Dayal Upadhyay Zonal Hospital,Shimla,-1,-1,NA,Yes,35,28,45,1,45
H039,Kamla Nehru State Hospital,Shimla,-1,-1,NA,Yes,35,28,45,1,45
H040,Government Dental College and Hospital,Shimla,-1,-1,NA,No,35,28,45,1,45
H041,Simla Sanitarium and Hospital,Shimla,-1,-1,NA,Yes,35,28,45,1,45
H042,Tenzin Hospital,Panthaghati,-1,-1,NA,Yes,30,23,40,8,40
H043,Sparsh Multispeciality Hospital,Tutikandi,-1,-1,NA,Yes,32,25,42,6,42
H044,Aastha Hospital and Pediatric Centre,Panthaghati,-1,-1,NA,Yes,30,23,40,8,40
H045,Shiva Hospital Shimla,Shimla,-1,-1,NA,Yes,35,28,45,1,45
H046,Tara Hospital,Shimla,-1,-1,NA,Yes,35,28,45,1,45
H047,Haritara Hospital and Pediatric Centre,Kasumpti,-1,-1,NA,Yes,33,26,43,4,43
H048,Sri Ram Hospital,Kaithu,-1,-1,NA,Yes,35,28,45,3,45
H049,SM Eye Hospital,Shimla,-1,25,9816164471,No,35,28,45,1,45
H050,Mahatma Gandhi Medical Services Complex,Tutikandi,-1,-1,NA,Yes,32,25,42,6,42
H057,Primary Health Centre Nagaun,Nagaun,-1,5,NA,No,10,10,22,30,22
H058,Primary Health Centre Barog,Barog,-1,6,NA,No,12,10,20,28,25
H059,Primary Health Centre Kaithlighat,Kaithlighat,-1,6,NA,No,15,8,18,32,22
H060,Primary Health Centre Taradevi,Taradevi,-1,6,NA,No,30,25,38,7,40
H061,Primary Health Centre Chail,Chail,-1,5,NA,No,25,18,38,45,1
