Village,NearestHub


Waknaghat,Waknaghat
Kathli,Waknaghat
Damehr,Waknaghat
Bharti,Waknaghat
Laga,Waknaghat
Basha,Waknaghat
Bisha,Waknaghat
Barog,Waknaghat
Nagaun,Waknaghat
Tanaji,Waknaghat
Deawada,Waknaghat
Kandaghat,Kandaghat
Anji Sunaran,Kandaghat
Sudharag,Kandaghat
Kawarag / Kot,Kandaghat
Dera,Kandaghat
Kaithlighat,Kandaghat
Kiarighat,Kandaghat
Solan,Solan
Rachhana,Solan
Dharampur,Solan
Kunihar,Solan
Sayari,Solan
Majhol,Solan
Shimla,Shimla
Shoghi,Shimla
Pathanghati,Shimla
Taradevi,Shimla
Jubbarhatti,Shimla
Tutikandi,Shimla
Kasumpti,Shimla
Kaithu,Shimla
Chail,Chail
